id,label,group,teks,desc,tested,mode,strand,questionCount,practiceQuestionCount,promptCount,fixedPracticeSets,fixedPracticeSetSizes,fullFormAppearances
w-10dix-spelling-usage,Spelling and Commonly Confused Words,STAAR-Tested Writing,7.10D(ix),Use correct spelling and distinguish commonly confused terms.,true,objective,STAAR-Tested Writing,18,14,0,3,5|5|4,4
w-6b-text-response,Text-Based Response,STAAR-Tested Writing,7.6B,Write a response that demonstrates understanding of one or more texts.,true,ecr,STAAR-Tested Writing,0,0,6,4,1|1|1|1,2
w-11b-informational,Informational Composition,STAAR-Tested Writing,7.11B,Compose an informational text with a clear controlling idea and relevant evidence.,true,ecr,STAAR-Tested Writing,0,0,6,4,1|1|1|1,1
w-11c-argumentative,Argumentative Composition,STAAR-Tested Writing,7.11C,"Compose an argument with a defensible claim, evidence, reasoning, and attention to alternatives.",true,ecr,STAAR-Tested Writing,0,0,6,4,1|1|1|1,1
w-11d-correspondence,Correspondence,STAAR-Tested Writing,7.11D,"Compose business or friendly correspondence that states an opinion, complaint, or request.",true,ecr,STAAR-Tested Writing,0,0,6,4,1|1|1|1,1
nt-1a-listen,Active Listening and Clarifying Questions,Course TEKS — Not STAAR Tested,7.1A,"Listen actively, interpret a message, and ask clarifying questions that build on others’ ideas.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-1b-instructions,Complex Oral Instructions,Course TEKS — Not STAAR Tested,7.1B,"Follow and give complex oral instructions to perform tasks, answer questions, or solve problems.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-1c-presentation,Oral Critique Presentation,Course TEKS — Not STAAR Tested,7.1C,"Present a critique with effective delivery, organization, and conventions.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-1d-discourse,Discussion and Constructive Feedback,Course TEKS — Not STAAR Tested,7.1D,Engage in meaningful discourse and provide and accept constructive feedback.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-3-fluency,Purposeful Fluency,Course TEKS — Not STAAR Tested,7.3,Adjust reading fluency based on purpose and text.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-4-independent-reading,Independent Sustained Reading,Course TEKS — Not STAAR Tested,7.4,Self-select grade-appropriate texts and read independently for a sustained period.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-5a-purpose,Establish a Reading Purpose,Course TEKS — Not STAAR Tested,7.5A,Establish a purpose before reading assigned or self-selected texts.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-5b-questions,Generate Questions,Course TEKS — Not STAAR Tested,7.5B,"Generate useful questions before, during, and after reading.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-5d-mental-images,Create Mental Images,Course TEKS — Not STAAR Tested,7.5D,Create mental images to deepen understanding.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-5i-monitor,Monitor and Repair Comprehension,Course TEKS — Not STAAR Tested,7.5I,Notice when understanding breaks down and choose an effective repair strategy.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-6a-personal-connections,Personal Response Connections,Course TEKS — Not STAAR Tested,7.6A,Describe personal connections to a variety of sources.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-6e-interact,Interact with Sources,Course TEKS — Not STAAR Tested,7.6E,"Use notetaking, annotating, freewriting, or illustrating to interact with a source.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-6f-new-vocabulary,Use Newly Acquired Vocabulary,Course TEKS — Not STAAR Tested,7.6F,Use newly acquired vocabulary appropriately in a response.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-6g-meaning,Explicit and Implicit Meaning,Course TEKS — Not STAAR Tested,7.6G,Discuss and write about explicit and implicit meanings.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-6h-register,"Register, Vocabulary, Tone, and Voice",Course TEKS — Not STAAR Tested,7.6H,"Match register, vocabulary, tone, and voice to a speaking or writing situation.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-6i-adjust-response,Reflect on and Adjust Responses,Course TEKS — Not STAAR Tested,7.6I,Revise a response when new evidence changes or refines understanding.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-8f-multimodal,Multimodal and Digital Texts,Course TEKS — Not STAAR Tested,7.8F,"Analyze how words, images, audio, video, and navigation work together in multimodal texts.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-10a-plan,Plan a First Draft,Course TEKS — Not STAAR Tested,7.10A,"Select a genre and use planning strategies suited to topic, purpose, and audience.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-10e-publish,Publish for an Audience,Course TEKS — Not STAAR Tested,7.10E,Publish written work in a format appropriate for the intended audience.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-11a-literary,Literary Composition,Course TEKS — Not STAAR Tested,7.11A,"Compose personal narratives, fiction, or poetry using genre characteristics and craft.",false,ecr,Course TEKS — Not STAAR Tested,0,0,6,4,1|1|1|1,0
nt-12a-inquiry-questions,Generate Inquiry Questions,Course TEKS — Not STAAR Tested,7.12A,Generate student-selected and teacher-guided questions for inquiry.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12b-research-plan,Develop and Revise a Research Plan,Course TEKS — Not STAAR Tested,7.12B,Develop and revise a plan for short-term or sustained research.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12c-refine-question,Refine a Research Question,Course TEKS — Not STAAR Tested,7.12C,Refine a major question using answers to secondary questions.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12d-gather,Gather Relevant Information,Course TEKS — Not STAAR Tested,7.12D,Identify and gather relevant information from a variety of sources.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12e-primary-secondary,Primary and Secondary Sources,Course TEKS — Not STAAR Tested,7.12E,Differentiate between primary and secondary sources.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12f-synthesize,Synthesize Research Sources,Course TEKS — Not STAAR Tested,7.12F,Synthesize information from a variety of sources.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12g-plagiarism,Paraphrasing and Plagiarism,Course TEKS — Not STAAR Tested,7.12G,Distinguish ethical paraphrasing from plagiarism.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12h-source-evaluation,Evaluate Sources and Faulty Reasoning,Course TEKS — Not STAAR Tested,7.12H,"Examine reliability, credibility, bias, hyperbole, emotional appeals, and stereotypes.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12i-citations,Citations and Ethical Source Use,Course TEKS — Not STAAR Tested,7.12I,Display academic citations and use source materials ethically.,false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
nt-12j-delivery,Present Research Results,Course TEKS — Not STAAR Tested,7.12J,"Choose an effective written, oral, or multimodal mode to present results.",false,objective,Course TEKS — Not STAAR Tested,4,4,0,1,4,0
